,x,y
292,292,224.0
293,293,223.0
294,294,223.0
295,295,223.0
296,296,222.0
297,297,715.0
298,298,223.0
299,299,223.0
300,300,223.0
301,301,223.0
302,302,223.0
303,303,728.0
304,304,223.0
305,305,223.0
306,306,223.0
307,307,222.0
308,308,223.0
309,309,223.0
310,310,222.0
311,311,745.0
312,312,223.0
313,313,222.0
314,314,223.0
315,315,223.0
316,316,755.0
317,317,224.0
318,318,223.0
319,319,222.0
320,320,223.0
321,321,223.0
322,322,223.0
323,323,770.0
324,324,224.0
325,325,223.0
326,326,223.0
327,327,222.0
328,328,222.0
329,329,781.0
330,330,223.0
331,331,223.0
332,332,223.0
333,333,223.0
334,334,223.0
335,335,223.0
336,336,223.0
337,337,223.0
338,338,223.0
339,339,223.0
340,340,222.0
341,341,811.0
342,342,224.0
343,343,222.0
344,344,223.0
345,345,223.0
346,346,222.0
347,347,823.0
348,348,223.0
349,349,223.0
350,350,223.0
351,351,223.0
352,352,223.0
353,353,223.0
354,354,222.0
355,355,841.0
356,356,223.0
357,357,223.0
358,358,223.0
359,359,223.0
360,360,222.0
361,361,853.0
362,362,223.0
363,363,224.0
364,364,224.0
365,365,223.0
366,366,222.0
367,367,865.0
368,368,223.0
369,369,223.0
370,370,223.0
371,371,223.0
372,372,223.0
373,373,878.0
374,374,224.0
375,375,223.0
376,376,223.0
377,377,224.0
378,378,223.0
379,379,223.0
380,380,223.0
381,381,223.0
382,382,222.0
383,383,901.0
384,384,223.0
385,385,223.0
386,386,222.0
387,387,907.0
388,388,223.0
389,389,223.0
390,390,223.0
391,391,224.0
392,392,223.0
393,393,223.0
394,394,764.0
395,395,224.0
396,396,223.0
397,397,222.0
398,398,222.0
399,399,223.0
400,400,223.0
401,401,223.0
402,402,223.0
403,403,947.0
404,404,224.0
405,405,224.0
406,406,223.0
407,407,223.0
408,408,223.0
409,409,790.0
410,410,224.0
411,411,223.0
412,412,223.0
413,413,223.0
414,414,223.0
415,415,223.0
416,416,801.0
417,417,224.0
418,418,223.0
419,419,224.0
420,420,223.0
421,421,223.0
422,422,222.0
423,423,815.0
424,424,223.0
425,425,223.0
426,426,223.0
427,427,223.0
428,428,820.0
429,429,224.0
430,430,223.0
431,431,222.0
432,432,222.0
433,433,223.0
434,434,223.0
435,435,828.0
436,436,223.0
437,437,223.0
438,438,223.0
439,439,223.0
440,440,223.0
441,441,223.0
442,442,223.0
443,443,846.0
444,444,224.0
445,445,223.0
446,446,223.0
447,447,222.0
448,448,849.0
449,449,223.0
450,450,224.0
451,451,224.0
452,452,223.0
453,453,223.0
454,454,854.0
455,455,224.0
456,456,224.0
457,457,224.0
458,458,223.0
459,459,222.0
460,460,866.0
461,461,223.0
462,462,223.0
463,463,222.0
464,464,223.0
465,465,223.0
466,466,223.0
467,467,223.0
468,468,223.0
469,469,222.0
470,470,222.0
471,471,223.0
472,472,223.0
473,473,223.0
474,474,223.0
475,475,223.0
476,476,223.0
477,477,224.0
478,478,223.0
479,479,223.0
480,480,222.0
481,481,223.0
482,482,224.0
483,483,224.0
484,484,223.0
485,485,222.0
486,486,222.0
487,487,223.0
488,488,222.0
489,489,223.0
490,490,224.0
491,491,223.0
492,492,223.0
493,493,223.0
494,494,223.0
495,495,223.0
496,496,222.0
497,497,223.0
498,498,222.0
499,499,223.0
