,0to1,0to2,1to0,1to2,1to3,2to0,2to4,3to4,3to5,4to2,4to3,4to5,5to3,,
140,24.026,2.152,0,0,17.75,0,3.114,0,26.508,0,4.722,0,0,,
141,4.942,21.388,0,0,2.57,0,18.288,0,7.116,0,4.536,18.984,0,,
142,4.79,21.434,0,0,2.462,0,18.294,0,6.946,0,4.528,19.042,0,,
143,24.026,2.152,0,0,17.75,0,3.114,0,26.508,0,4.722,0,0,,
144,4.942,21.388,0,0,2.57,0,18.288,0,7.116,0,4.536,18.984,0,,
145,24.032,2.042,0,0,17.808,0,2.996,0,26.41,0,4.552,0,0,,
146,5.104,21.436,0,0,2.724,0,18.294,0,7.278,0,4.532,19.042,0,,
147,4.788,21.438,0,0,2.478,0,18.3,0,6.966,0,4.542,19.108,0,,
148,24.032,2.042,0,0,17.808,0,2.996,0,26.41,0,4.552,0,0,,
149,5.104,21.436,0,0,2.724,0,18.294,0,7.278,0,4.532,19.042,0,,
150,24.032,2.042,0,0,17.808,0,2.996,0,26.41,0,4.552,0,0,,
151,4.942,21.388,0,0,2.57,0,18.288,0,7.116,0,4.536,18.984,0,,
152,4.946,21.384,0,0,2.648,0,18.272,0,9.762,0,4.552,16.444,0,,
153,24.03,2.048,0,0,17.736,0,3.014,0,23.752,0,4.536,2.58,0,,
154,4.942,21.388,0,0,2.57,0,18.288,0,7.116,0,4.536,18.984,0,,
155,24.032,2.042,0,0,17.808,0,2.996,0,26.41,0,4.552,0,0,,
156,5.104,21.436,0,0,2.724,0,18.294,0,7.278,0,4.532,19.042,0,,
157,4.79,21.434,0,0,2.462,0,18.294,0,6.946,0,4.528,19.042,0,,
158,24.032,2.042,0,0,17.808,0,2.996,0,26.41,0,4.552,0,0,,
159,5.104,21.436,0,0,2.724,0,18.294,0,7.278,0,4.532,19.042,0,,
160,24.032,2.042,0,0,17.808,0,2.996,0,26.41,0,4.552,0,0,,
161,4.942,21.388,0,0,2.57,0,18.288,0,7.116,0,4.536,18.984,0,,
162,4.944,21.39,0,0,2.576,0,18.29,0,7.104,0,4.536,19.024,0,,
163,24.032,2.042,0,0,17.808,0,2.996,0,26.41,0,4.552,0,0,,
164,4.942,21.388,0,0,2.57,0,18.288,0,7.116,0,4.536,18.984,0,,
165,24.026,2.152,0,0,17.75,0,3.114,0,26.508,0,4.722,0,0,,
166,4.942,21.388,0,0,2.57,0,18.288,0,7.116,0,4.536,18.984,0,,
167,4.946,21.384,0,0,2.648,0,18.272,0,9.762,0,4.552,16.444,0,,
168,24.03,2.04,0,0,17.73,0,3.022,0,23.766,0,4.546,2.554,0,,
169,4.942,21.388,0,0,2.57,0,18.288,0,7.116,0,4.536,18.984,0,,
170,24.032,2.042,0,0,17.808,0,2.996,0,26.41,0,4.552,0,0,,
171,5.104,21.436,0,0,2.724,0,18.294,0,7.278,0,4.532,19.042,0,,
172,4.946,21.384,0,0,2.648,0,18.272,0,9.762,0,4.552,16.444,0,,
173,23.874,2.096,0,0,17.638,0,3.024,0,23.614,0,4.542,2.664,0,,
174,4.942,21.492,0,0,2.6,0,18.38,0,9.916,0,4.71,16.444,0,,
175,4.788,21.438,0,0,2.478,0,18.3,0,6.966,0,4.542,19.108,0,,
176,23.876,2.092,0,0,17.622,0,3.018,0,23.594,0,4.528,2.598,0,,
177,4.942,21.492,0,0,2.6,0,18.38,0,9.916,0,4.71,16.444,0,,
178,23.874,2.096,0,0,17.638,0,3.024,0,23.614,0,4.542,2.664,0,,
179,5.1,21.342,0,0,2.726,0,18.25,0,9.894,0,4.516,16.444,0,,
180,4.944,21.39,0,0,2.576,0,18.29,0,7.104,0,4.536,19.024,0,,
181,23.874,2.096,0,0,17.638,0,3.024,0,23.614,0,4.542,2.664,0,,
182,5.1,21.342,0,0,2.726,0,18.25,0,9.894,0,4.516,16.444,0,,
183,24.03,2.048,0,0,17.736,0,3.014,0,23.752,0,4.536,2.58,0,,
184,5.1,21.342,0,0,2.726,0,18.25,0,9.894,0,4.516,16.444,0,,
185,4.788,21.438,0,0,2.478,0,18.3,0,6.966,0,4.542,19.108,0,,
186,24.03,2.048,0,0,17.736,0,3.014,0,23.752,0,4.536,2.58,0,,
187,5.1,21.342,0,0,2.726,0,18.25,0,9.894,0,4.516,16.444,0,,
188,23.874,2.096,0,0,17.638,0,3.024,0,23.614,0,4.542,2.664,0,,
189,4.942,21.492,0,0,2.6,0,18.38,0,9.916,0,4.71,16.444,0,,
190,4.788,21.438,0,0,2.478,0,18.3,0,6.966,0,4.542,19.108,0,,
191,24.032,2.042,0,0,17.808,0,2.996,0,26.41,0,4.552,0,0,,
192,5.098,21.388,0,0,2.702,0,18.29,0,7.282,0,4.53,19.048,0,,
193,23.874,2.096,0,0,17.638,0,3.024,0,23.614,0,4.542,2.664,0,,
194,5.1,21.342,0,0,2.726,0,18.25,0,9.894,0,4.516,16.444,0,,
195,4.944,21.39,0,0,2.576,0,18.29,0,7.104,0,4.536,19.024,0,,
196,24.032,2.042,0,0,17.808,0,2.996,0,26.41,0,4.552,0,0,,
197,4.942,21.388,0,0,2.57,0,18.288,0,7.116,0,4.536,18.984,0,,
198,4.946,21.384,0,0,2.648,0,18.272,0,9.762,0,4.552,16.444,0,,
199,24.03,2.048,0,0,17.736,0,3.014,0,23.752,0,4.536,2.58,0,,
200,4.942,21.388,0,0,2.57,0,18.288,0,7.116,0,4.536,18.984,0,,
201,24.032,2.042,0,0,17.808,0,2.996,0,26.41,0,4.552,0,0,,
202,5.104,21.436,0,0,2.724,0,18.294,0,7.278,0,4.532,19.042,0,,
203,4.79,21.434,0,0,2.462,0,18.294,0,6.946,0,4.528,19.042,0,,
