interval_begin,interval_end,interval_id,edge_CO2_abs,edge_CO2_normed,edge_CO2_perVeh,edge_CO_abs,edge_CO_normed,edge_CO_perVeh,edge_HC_abs,edge_HC_normed,edge_HC_perVeh,edge_NOx_abs,edge_NOx_normed,edge_NOx_perVeh,edge_PMx_abs,edge_PMx_normed,edge_PMx_perVeh,edge_electricity_abs,edge_electricity_normed,edge_electricity_perVeh,edge_fuel_abs,edge_fuel_normed,edge_fuel_perVeh,edge_id,edge_sampledSeconds,edge_traveltime
15.00,16.00,em1,6636.651997,24227.006690,185032.986673,58.272122,212.721578,1624.654228,1.781151,6.502068,49.659339,12.922415,47.173096,360.283010,0.618115,2.256421,17.233343,0,0,0,2.645932,9.658938,73.769827,0to1,3.00,83.64
15.00,16.00,em1,6059.359803,22119.609490,231290.700655,36.215116,132.202782,1382.360479,1.422184,5.191664,54.285931,11.223754,40.972161,428.419847,0.460421,1.680760,17.574641,0,0,0,2.415775,8.818755,92.212115,0to2,2.00,76.34
16.00,17.00,em1,7213.908401,26334.273242,173546.577580,92.942146,339.284022,2235.929592,2.290881,8.362828,55.112219,14.946655,54.562558,359.574957,0.800674,2.922848,19.261983,0,0,0,2.876074,10.499067,69.190336,0to1,3.81,91.60
16.00,17.00,em1,2837.083513,10356.734281,111149.355760,13.421266,48.994148,525.809374,0.630070,2.300063,24.684472,5.128074,18.719964,200.904251,0.195607,0.714061,7.663361,0,0,0,1.131103,4.129074,44.313578,0to2,2.00,78.35
17.00,18.00,em1,2331.403246,83930516.840703,90.935081,36.734944,1322457.974607,1.432826,0.909037,32725.319026,0.035456,4.892411,176126.798536,0.190826,0.295793,10648.546877,0.011537,0,0,0,0.929494,33461.785406,0.036254,-1to0,1.00,0.04
17.00,18.00,em1,15193.933112,55465.243520,323007.897509,162.027682,591.479823,3444.547285,4.305940,15.718775,91.540000,30.636158,111.836871,651.294223,1.581950,5.774888,33.630693,0,0,0,6.057589,22.113144,128.778309,0to1,4.00,85.04
17.00,18.00,em1,5034.492426,18378.345248,192522.556657,14.484019,52.873713,553.879157,1.020794,3.726393,39.035873,8.830330,32.234998,337.678075,0.327859,1.196844,12.537550,0,0,0,2.007177,7.327171,76.755861,0to2,2.00,76.48
18.00,19.00,em1,1660.145421,59765235.161087,68.145170,25.022015,900792.550806,1.027096,0.593504,21366.140300,0.024362,3.525147,126905.305563,0.144699,0.209083,7526.990180,0.008582,0,0,0,0.661874,23827.466641,0.027168,-1to0,0.51,0.02
18.00,19.00,em1,12338.622509,45041.971500,249160.909501,144.793817,528.567836,2923.904935,3.575311,13.051625,72.198323,25.586896,93.404610,516.690915,1.445428,5.276517,29.188368,0,0,0,4.919220,17.957545,99.336641,0to1,4.00,80.77
18.00,19.00,em1,4334.827013,15824.226296,158053.739787,37.472511,136.792884,1366.299148,1.170154,4.271629,42.665403,8.358539,30.512733,304.763815,0.381581,1.392957,13.912978,0,0,0,1.728230,6.308878,63.013621,0to2,2.37,86.34
19.00,20.00,em1,14038.948854,51248.989396,265832.664339,169.831460,619.967406,3215.821214,4.121255,15.044583,78.037472,29.196364,106.580925,552.843902,1.573472,5.743936,29.794263,0,0,0,5.597114,20.432189,105.983423,0to1,4.00,75.74
19.00,20.00,em1,10016.845562,36566.356736,292465.152761,143.659771,524.428017,4194.481860,3.239478,11.825669,94.584103,21.491326,78.453788,627.489341,1.233741,4.503756,36.021958,0,0,0,3.993562,14.578442,116.601345,0to2,3.00,87.59
20.00,21.00,em1,1716.390952,61790074.277665,81.993527,23.585882,849091.752075,1.126719,0.682779,24580.026500,0.032617,3.361808,121025.102819,0.160597,0.179683,6468.589779,0.008584,0,0,0,0.684298,24634.737409,0.032690,-1to0,1.00,0.05
20.00,21.00,em1,2633.928120,9615.118317,50347.910616,9.262108,33.811197,177.046506,0.550449,2.009405,10.521902,4.667723,17.039458,89.224189,0.173717,0.634153,3.320631,0,0,0,1.050108,3.833404,20.072958,0to1,4.00,76.46
20.00,21.00,em1,4607.043116,16817.947432,131921.330096,64.616485,235.881588,1850.274117,1.499297,5.473164,42.931937,9.786119,35.724091,280.222642,0.552975,2.018626,15.834266,0,0,0,1.836757,6.705055,52.594989,0to2,3.00,85.90
21.00,22.00,em1,2034.570346,73244532.469702,69.996484,30.560560,1100180.170994,1.051392,0.736013,26496.472116,0.025321,4.295830,154649.875522,0.147792,0.253643,9131.146042,0.008726,0,0,0,0.811151,29201.451781,0.027907,-1to0,0.68,0.02
21.00,22.00,em1,2427.789279,8862.611319,47318.994590,5.660895,20.665020,110.334068,0.480574,1.754329,9.366661,4.215714,15.389407,82.166671,0.154562,0.564226,3.012500,0,0,0,0.967923,3.533390,18.865375,0to1,4.00,77.96
21.00,22.00,em1,11063.554117,40387.351898,297318.044301,160.060515,584.298704,4301.409721,3.509059,12.809772,94.301212,24.073339,87.879393,646.938412,1.450523,5.295113,38.980835,0,0,0,4.410869,16.101816,118.536131,0to2,3.00,80.62
22.00,23.00,em1,6056.045027,22107.508945,107684.818360,60.913345,222.363328,1083.123142,1.732532,6.324585,30.806806,11.983229,43.744611,213.078302,0.590175,2.154426,10.494126,0,0,0,2.414452,8.813925,42.932289,0to1,4.81,85.53
22.00,23.00,em1,6890.516909,25153.737057,178291.852453,54.085412,197.438051,1399.457890,1.762107,6.432547,45.594449,13.131997,47.938175,339.789911,0.555629,2.028317,14.376886,0,0,0,2.747145,10.028413,71.082257,0to2,3.00,77.62
23.00,24.00,em1,1608.423524,57903246.875924,80.672194,21.389922,770037.202389,1.072834,0.644212,23191.614502,0.032311,3.098180,111534.480244,0.155393,0.160509,5778.311189,0.008050,0,0,0,0.641253,23085.120122,0.032163,-1to0,1.00,0.05
23.00,24.00,em1,11128.444656,40624.233918,187653.560970,113.961823,416.016066,1921.682916,3.142727,11.472482,52.994282,22.221233,81.118305,374.705866,1.105277,4.034797,18.637745,0,0,0,4.436741,16.196261,74.814604,0to1,5.00,84.31
23.00,24.00,em1,5920.899820,21614.163229,150711.624188,32.421406,118.353897,825.260169,1.353290,4.940165,34.446873,10.878278,39.711002,276.897588,0.437910,1.598584,11.146635,0,0,0,2.360574,8.617242,60.086458,0to2,3.00,76.36
24.00,25.00,em1,2046.692438,73680927.782829,68.081853,29.851797,1074664.683443,0.993000,0.740399,26654.361362,0.024629,4.267164,153617.900521,0.141944,0.246350,8868.605716,0.008195,0,0,0,0.815984,29375.435830,0.027143,-1to0,0.73,0.02
24.00,25.00,em1,13549.166185,49461.044511,218029.973673,166.095601,606.329705,2672.771085,4.031732,14.717780,64.877669,28.253621,103.139453,454.650575,1.554799,5.675771,25.019449,0,0,0,5.401845,19.719360,86.925209,0to1,5.00,80.46
24.00,25.00,em1,3426.756204,12509.326319,88994.708771,25.502536,93.096657,662.314633,0.854195,3.118228,22.183912,6.492161,23.699546,168.604938,0.268827,0.981350,6.981590,0,0,0,1.366196,4.987279,35.480846,0to2,3.00,77.91
25.00,26.00,em1,1362.727072,49058174.575596,78.420973,16.576847,596766.486584,0.953949,0.558400,20102.404584,0.032134,2.506227,90224.155327,0.144226,0.118716,4273.784652,0.006832,0,0,0,0.543298,19558.728117,0.031265,-1to0,1.00,0.06
25.00,26.00,em1,16083.219004,58711.569421,231576.987258,144.021951,525.750150,2073.724769,4.306745,15.721714,62.011411,31.389002,114.585121,451.959934,1.499450,5.473723,21.590095,0,0,0,6.412135,23.407409,92.326219,0to1,5.76,82.98
25.00,26.00,em1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0to2,3.00,78.36
26.00,27.00,em1,1998.239583,71936624.988106,61.252617,25.608100,921891.609797,0.784973,0.724865,26095.128386,0.022219,3.949016,142164.562605,0.121050,0.206472,7432.984973,0.006329,0,0,0,0.796667,28680.009792,0.024420,-1to0,0.93,0.03
26.00,27.00,em1,13868.130351,50625.418807,189744.932315,80.833694,295.082285,1105.973434,3.275887,11.958581,44.820966,25.677946,93.736990,351.327834,1.128624,4.120025,15.441923,0,0,0,5.529014,20.183589,75.648434,0to1,6.00,82.09
26.00,27.00,em1,6750.908581,24644.098778,174110.811199,8.403313,30.676177,216.727504,1.239965,4.526477,31.979604,11.511906,42.024054,296.900370,0.427216,1.559546,11.018207,0,0,0,2.691487,9.825235,69.415383,0to2,3.00,77.37
27.00,28.00,em1,6918.248622,25254.971291,94384.327459,62.688950,228.845149,855.253220,1.878647,6.857974,25.630015,13.481405,49.213683,183.924200,0.625348,2.282826,8.531508,0,0,0,2.758200,10.068772,37.629591,0to1,6.00,81.86
27.00,28.00,em1,9446.746591,34485.218298,213981.201037,87.099973,317.957253,1972.928643,2.603564,9.504274,58.974135,18.484570,67.477668,418.699753,0.900452,3.287087,20.396414,0,0,0,3.766274,13.748730,85.311040,0to2,3.94,89.29
28.00,29.00,em1,2167.787864,78040363.087068,88.432233,33.149642,1193387.125737,1.352299,0.847965,30526.750082,0.034592,4.481195,161323.035516,0.182805,0.263931,9501.517075,0.010767,0,0,0,0.864263,31113.473291,0.035257,-1to0,1.00,0.04
